date_utc,channel_id,channel_title,subscribers,views,videos
2026-01-17,UCZ5qxuvquQABNtjcawNMowA,DaddyFamtech,115000,13101886,1393
2026-01-17,UCZEdNvDcHUPEE7CDRpXnO6w,Cyril | Ctrl Bu,5830,799595,153
2026-01-17,UCJy0lX8ThZ7lCtst7JnegWQ,Jojol,2690000,609282099,2110
2026-01-17,UC7XxmEXw7wXgh259vYCSjkQ,Cmonavis 2,10000,1217242,201
2026-01-17,UCPQsSFJurluaMOG1qL0Y7sA,PP World,447000,77108117,1024
2026-01-17,UCFrfK9IFqO15S7C52DdnSog,GIGATOP,42400,14934718,1064
2026-01-17,UC4q3HKdMqzll3SvA2Lf7oAg,Thomas in Tech,71700,21007416,942
2026-01-17,UCTOAKgwfqqCbOytF3RNGGVw,Monsieur GRrr,722000,146586927,1971
2026-01-17,UCfLyhjpn3hzleNtgTGOQimA,Romain PIAUD,31200,7418634,572
2026-01-17,UCNOUTy_TWRJzAaSfIGserkg,Nowtech Replay (Le Mug Nowtech),5390,798246,499
2026-01-17,UCxpT79bmhxk50l8P50WG86w,Discoverdex,77200,23776602,469
2026-01-17,UCGMxP4yf3ixAAEKQc3d76gw,Arnaud,6120,1761887,137
2026-01-17,UCDfGCQqgOKPYeiaG3I4vl4w,Marty,109000,22336460,872
2026-01-17,UCljgvfi_NnUrNJVHp_HGHwA,Bazar de Léo - TechMaker,72000,25487730,112
2026-01-17,UC1wV5Kf18gVbL3bWH-tWKDw,Cmonavis,61900,12349761,644
2026-01-17,UCrSCIeCW1YuEviVZPVhEfGQ,Dorian GM,29000,5643256,266
2026-01-17,UCOyUCj6Wx9skJggzZFUDZyA,Unlock Talk,20000,2295222,348
2026-01-17,UCgjhIdz3Uw9r-eMyML9M8FA,PIKATE,10500,1150886,116
2026-01-17,UCaybrunQi8xWgPMgv1AYBHw,TheiCollection,1000000,218838126,1279
2026-01-17,UCqRSWOqkW_oelrdUN7KQ-aQ,Les Numériques,153000,63966654,3025
2026-01-17,UCwsQtHFlS-LKVn8xJ3TaupQ,Monsieur Pixel,9000,1168052,217
2026-01-17,UCaHolOYkfcTdC0vTFAywzXw,LoKan Sardari,87100,18081534,973
2026-01-17,UCu6HC8ahaPWqqfSvic7nWyQ,Nightech,137000,32670400,506
2026-01-17,UC-pdFydi9ooxEfATh3KoiIw,STEVEN,1100000,196340543,1507
2026-01-17,UCC5xS4j2xUyGO2UfjFh5LsQ,Nooz,14000,2562298,600
2026-01-18,UC4q3HKdMqzll3SvA2Lf7oAg,Thomas in Tech,71700,21020859,942
2026-01-18,UCNOUTy_TWRJzAaSfIGserkg,Nowtech Replay (Le Mug Nowtech),5390,798527,499
2026-01-18,UCDfGCQqgOKPYeiaG3I4vl4w,Marty,109000,22347123,872
2026-01-18,UCrSCIeCW1YuEviVZPVhEfGQ,Dorian GM,29100,5657059,266
2026-01-18,UCZ5qxuvquQABNtjcawNMowA,DaddyFamtech,116000,13122800,1395
2026-01-18,UCgjhIdz3Uw9r-eMyML9M8FA,PIKATE,10700,1158811,116
2026-01-18,UCxpT79bmhxk50l8P50WG86w,Discoverdex,77300,23794971,469
2026-01-18,UC-pdFydi9ooxEfATh3KoiIw,STEVEN,1100000,196356956,1507
2026-01-18,UC7XxmEXw7wXgh259vYCSjkQ,Cmonavis 2,10000,1218990,202
2026-01-18,UCFrfK9IFqO15S7C52DdnSog,GIGATOP,42500,14949562,1064
2026-01-18,UCqRSWOqkW_oelrdUN7KQ-aQ,Les Numériques,153000,63981381,3025
2026-01-18,UCwsQtHFlS-LKVn8xJ3TaupQ,Monsieur Pixel,9020,1169517,217
2026-01-18,UCPQsSFJurluaMOG1qL0Y7sA,PP World,447000,77132785,1027
2026-01-18,UCljgvfi_NnUrNJVHp_HGHwA,Bazar de Léo - TechMaker,72000,25488358,112
2026-01-18,UCu6HC8ahaPWqqfSvic7nWyQ,Nightech,137000,32706755,506
2026-01-18,UCJy0lX8ThZ7lCtst7JnegWQ,Jojol,2690000,609387775,2111
2026-01-18,UCfLyhjpn3hzleNtgTGOQimA,Romain PIAUD,31200,7431130,572
2026-01-18,UCaybrunQi8xWgPMgv1AYBHw,TheiCollection,1000000,218867309,1279
2026-01-18,UCC5xS4j2xUyGO2UfjFh5LsQ,Nooz,14000,2567746,600
2026-01-18,UCOyUCj6Wx9skJggzZFUDZyA,Unlock Talk,20000,2299254,349
2026-01-18,UCGMxP4yf3ixAAEKQc3d76gw,Arnaud,6120,1763550,137
2026-01-18,UCaHolOYkfcTdC0vTFAywzXw,LoKan Sardari,87200,18098259,973
2026-01-18,UCTOAKgwfqqCbOytF3RNGGVw,Monsieur GRrr,722000,146625072,1971
2026-01-18,UCZEdNvDcHUPEE7CDRpXnO6w,Cyril | Ctrl Bu,5840,802619,153
2026-01-18,UC1wV5Kf18gVbL3bWH-tWKDw,Cmonavis,61900,12359612,645
2026-01-19,UCljgvfi_NnUrNJVHp_HGHwA,Bazar de Léo - TechMaker,72000,25488929,112
2026-01-19,UC4q3HKdMqzll3SvA2Lf7oAg,Thomas in Tech,71800,21033922,942
2026-01-19,UCgjhIdz3Uw9r-eMyML9M8FA,PIKATE,11100,1167419,117
